### DATA:
#
# 1696
#      Q             I(Q)           Error     
1.61200242E-02  1.56634904E+00  1.62600703E-02
1.62435493E-02  1.56627072E+00  1.62374399E-02
1.63670744E-02  1.51213486E+00  1.61713121E-02
1.64905995E-02  1.56360662E+00  1.60299160E-02
1.66141245E-02  1.53154597E+00  1.59862502E-02
1.67376496E-02  1.53249880E+00  1.60170396E-02
1.68611747E-02  1.50032041E+00  1.58701372E-02
1.69846998E-02  1.52856230E+00  1.57931196E-02
1.71082249E-02  1.51947375E+00  1.57628746E-02
1.72317500E-02  1.54444323E+00  1.57188105E-02
1.73552751E-02  1.52924544E+00  1.56273801E-02
1.74788002E-02  1.53563431E+00  1.54509340E-02
1.76023253E-02  1.52370005E+00  1.55674844E-02
1.77258503E-02  1.53806788E+00  1.54309679E-02
1.78493754E-02  1.56998891E+00  1.54571942E-02
1.79729005E-02  1.52214386E+00  1.52932097E-02
1.80964256E-02  1.52778982E+00  1.52024509E-02
1.82199507E-02  1.54217878E+00  1.52117268E-02
1.83434758E-02  1.53025903E+00  1.51553253E-02
1.84670009E-02  1.55235801E+00  1.51119262E-02
1.85905260E-02  1.54434314E+00  1.49556043E-02
1.87140511E-02  1.55564544E+00  1.49979507E-02
1.88375762E-02  1.53261447E+00  1.49623931E-02
1.89611012E-02  1.50670205E+00  1.48315081E-02
1.90846263E-02  1.56192251E+00  1.47980820E-02
1.92081514E-02  1.53661474E+00  1.48248020E-02
1.93316765E-02  1.53671219E+00  1.47316687E-02
1.94552016E-02  1.51138150E+00  1.46754209E-02
1.95787267E-02  1.54295594E+00  1.44461334E-02
1.97022518E-02  1.48716163E+00  1.45637096E-02
1.98257769E-02  1.50110908E+00  1.44811799E-02
1.99493020E-02  1.51622869E+00  1.44847302E-02
2.00728270E-02  1.53050827E+00  1.44450362E-02
2.01963521E-02  1.50943050E+00  1.42802845E-02
2.03198772E-02  1.50170337E+00  1.42605671E-02
2.04434023E-02  1.52864590E+00  1.42483907E-02
2.05669274E-02  1.50236109E+00  1.42307584E-02
2.06904525E-02  1.50906205E+00  1.41034706E-02
2.08139776E-02  1.50535850E+00  1.40612322E-02
2.09375027E-02  1.52060057E+00  1.41064893E-02
2.10610278E-02  1.51215144E+00  1.40404287E-02
2.11845529E-02  1.49104212E+00  1.39298840E-02
2.13080779E-02  1.47287819E+00  1.39470148E-02
2.14316030E-02  1.51252902E+00  1.38306700E-02
2.15551281E-02  1.49961337E+00  1.38742775E-02
2.16786532E-02  1.49401190E+00  1.36789769E-02
2.18021783E-02  1.48668262E+00  1.37816253E-02
2.19257034E-02  1.48811311E+00  1.37157103E-02
2.20492285E-02  1.48352222E+00  1.36586199E-02
2.21727536E-02  1.48817916E+00  1.36425015E-02
2.22962787E-02  1.47667691E+00  1.35319243E-02
2.24198037E-02  1.51733349E+00  1.35243639E-02
2.25433288E-02  1.49749208E+00  1.35366167E-02
2.26668539E-02  1.51553639E+00  1.34421624E-02
2.27903790E-02  1.49541019E+00  1.34079032E-02
2.29139041E-02  1.48247599E+00  1.33617357E-02
2.30374292E-02  1.49634969E+00  1.33170530E-02
2.31609543E-02  1.48026046E+00  1.33704742E-02
2.32844794E-02  1.46993220E+00  1.31981104E-02
2.34080045E-02  1.47379230E+00  1.32194553E-02
2.35315296E-02  1.50942948E+00  1.31450674E-02
2.36550546E-02  1.48274575E+00  1.31707939E-02
2.37785797E-02  1.47060231E+00  1.30890410E-02
2.39021048E-02  1.47350080E+00  1.30154418E-02
2.40256299E-02  1.47431504E+00  1.30438719E-02
2.41491550E-02  1.46330229E+00  1.30610783E-02
2.42726801E-02  1.46024543E+00  1.28780859E-02
2.43962052E-02  1.48542804E+00  1.29229986E-02
2.45197303E-02  1.46377231E+00  1.28541820E-02
2.46432554E-02  1.46226218E+00  1.28204170E-02
2.47667805E-02  1.47332946E+00  1.28342633E-02
2.48903055E-02  1.45182259E+00  1.27410180E-02
2.50138306E-02  1.45070653E+00  1.27227279E-02
2.51373557E-02  1.45882476E+00  1.26946523E-02
2.52608808E-02  1.44697916E+00  1.26732244E-02
2.53844059E-02  1.42576250E+00  1.26204050E-02
2.55079310E-02  1.46425595E+00  1.26033902E-02
2.56314561E-02  1.46556188E+00  1.25913348E-02
2.57549812E-02  1.45569367E+00  1.25586395E-02
2.58785063E-02  1.43615736E+00  1.24098969E-02
2.60020313E-02  1.44183811E+00  1.24672020E-02
2.61255564E-02  1.46014269E+00  1.24204410E-02
2.62490815E-02  1.45167914E+00  1.24662151E-02
2.63726066E-02  1.44385206E+00  1.23528049E-02
2.64961317E-02  1.45781111E+00  1.22988876E-02
2.66196568E-02  1.46017137E+00  1.23115691E-02
2.67431819E-02  1.42691657E+00  1.22496903E-02
2.68667070E-02  1.44775816E+00  1.23014716E-02
2.69902321E-02  1.42032545E+00  1.21854680E-02
2.71137572E-02  1.45576331E+00  1.21752891E-02
2.72372822E-02  1.42783600E+00  1.21470934E-02
2.73608073E-02  1.42242161E+00  1.21165346E-02
2.74843324E-02  1.42138932E+00  1.20701218E-02
2.76078575E-02  1.40941813E+00  1.20735946E-02
2.77313826E-02  1.42251293E+00  1.20382229E-02
2.78549077E-02  1.41490660E+00  1.20314684E-02
2.79784328E-02  1.42124158E+00  1.19598157E-02
2.81019579E-02  1.43821581E+00  1.19485766E-02
2.82254830E-02  1.44495172E+00  1.19569797E-02
2.83490080E-02  1.42170160E+00  1.20839590E-02
2.84725331E-02  1.40623763E+00  1.21543759E-02
2.85960582E-02  1.42060376E+00  1.21709222E-02
2.87195833E-02  1.41740163E+00  1.21526861E-02
2.88431084E-02  1.41763328E+00  1.22274409E-02
2.89666335E-02  1.40122747E+00  1.21910318E-02
2.90901586E-02  1.41978869E+00  1.22254359E-02
2.92136837E-02  1.41211381E+00  1.22394660E-02
2.93372088E-02  1.41192613E+00  1.22375635E-02
2.94607339E-02  1.39572527E+00  1.22637471E-02
2.95842589E-02  1.42321557E+00  1.22261806E-02
2.97077840E-02  1.41972745E+00  1.22323095E-02
2.98313091E-02  1.38991001E+00  1.22127705E-02
2.99548342E-02  1.39611784E+00  1.22649785E-02
3.00783593E-02  1.41301900E+00  1.22434577E-02
3.02018844E-02  1.41156220E+00  1.22530064E-02
3.03254095E-02  1.37322179E+00  1.22519451E-02
3.04489346E-02  1.42168047E+00  1.22253531E-02
3.05724597E-02  1.41397365E+00  1.22364726E-02
3.06959847E-02  1.37157579E+00  1.22222349E-02
3.08195098E-02  1.42233593E+00  1.22207697E-02
3.09430349E-02  1.37517264E+00  1.22599918E-02
3.10665600E-02  1.37379015E+00  1.22578825E-02
3.11900851E-02  1.40671618E+00  1.21663363E-02
3.13136102E-02  1.39779308E+00  1.21761058E-02
3.14371353E-02  1.38676761E+00  1.21828443E-02
3.15606604E-02  1.37128107E+00  1.21732344E-02
3.16841855E-02  1.38708794E+00  1.22016341E-02
3.18077106E-02  1.36823299E+00  1.21844709E-02
3.19312356E-02  1.38790697E+00  1.21354547E-02
3.20547607E-02  1.37896670E+00  1.21510592E-02
3.21782858E-02  1.38674903E+00  1.21409953E-02
3.23018109E-02  1.35135028E+00  1.21621571E-02
3.24253360E-02  1.37571916E+00  1.20955479E-02
3.25488611E-02  1.36187656E+00  1.21024493E-02
3.26723862E-02  1.33836260E+00  1.20806458E-02
3.27959113E-02  1.34789316E+00  1.20363203E-02
3.29194364E-02  1.35527816E+00  1.21041235E-02
3.30429614E-02  1.36380087E+00  1.20766086E-02
3.31664865E-02  1.36065535E+00  1.18753820E-02
3.32900116E-02  1.34760444E+00  1.17176629E-02
3.34135367E-02  1.36314671E+00  1.17662218E-02
3.35370618E-02  1.38346871E+00  1.16508021E-02
3.36605869E-02  1.35924237E+00  1.15242069E-02
3.37841120E-02  1.35928542E+00  1.15243426E-02
3.39076371E-02  1.34669693E+00  1.15240009E-02
3.40311622E-02  1.35078302E+00  1.14273952E-02
3.41546873E-02  1.35223141E+00  1.14143102E-02
3.42782123E-02  1.34518889E+00  1.13542996E-02
3.44017374E-02  1.32816020E+00  1.12615274E-02
3.45252625E-02  1.36052077E+00  1.12916898E-02
3.46487876E-02  1.33119401E+00  1.12428900E-02
3.47723127E-02  1.34763112E+00  1.12431514E-02
3.48958378E-02  1.32971712E+00  1.11788868E-02
3.50193629E-02  1.34823704E+00  1.12762781E-02
3.51428880E-02  1.29561458E+00  1.12809795E-02
3.52664131E-02  1.32443676E+00  1.13391515E-02
3.53899381E-02  1.31801373E+00  1.13707102E-02
3.55134632E-02  1.31493044E+00  1.14168119E-02
3.56369883E-02  1.31252271E+00  1.14110345E-02
3.57605134E-02  1.31076352E+00  1.13818986E-02
3.58840385E-02  1.32071633E+00  1.13745401E-02
3.60075636E-02  1.33073306E+00  1.14294570E-02
3.61310887E-02  1.30303995E+00  1.13892183E-02
3.62546138E-02  1.29466510E+00  1.14258945E-02
3.63781389E-02  1.31928041E+00  1.14201972E-02
3.65016640E-02  1.31319761E+00  1.13782351E-02
3.66251890E-02  1.31245680E+00  1.14164226E-02
3.67487141E-02  1.29659579E+00  1.13605317E-02
3.68722392E-02  1.30858145E+00  1.13981288E-02
3.69957643E-02  1.30655690E+00  1.14001876E-02
3.71192894E-02  1.29106113E+00  1.13762475E-02
3.72428145E-02  1.30108820E+00  1.13806516E-02
3.73663396E-02  1.29517977E+00  1.13458589E-02
3.74898647E-02  1.28297635E+00  1.13629495E-02
3.76133898E-02  1.28704829E+00  1.13611844E-02
3.77369149E-02  1.30384580E+00  1.13340374E-02
3.78604399E-02  1.30243795E+00  1.13424653E-02
3.79839650E-02  1.29284266E+00  1.13249997E-02
3.81074901E-02  1.27674578E+00  1.13174380E-02
3.82310152E-02  1.28387936E+00  1.13096439E-02
3.83545403E-02  1.29803171E+00  1.13077920E-02
3.84780654E-02  1.31496892E+00  1.13288396E-02
3.86015905E-02  1.26179949E+00  1.12771095E-02
3.87251156E-02  1.29892305E+00  1.12793559E-02
3.88486407E-02  1.28991762E+00  1.12742851E-02
3.89721657E-02  1.29065061E+00  1.12557337E-02
3.90956908E-02  1.27398889E+00  1.12785641E-02
3.92192159E-02  1.26997118E+00  1.12549008E-02
3.93427410E-02  1.25640029E+00  1.11917281E-02
3.94662661E-02  1.25493844E+00  1.12279041E-02
3.95897912E-02  1.25376622E+00  1.12234414E-02
3.97133163E-02  1.25147082E+00  1.11879706E-02
3.98368414E-02  1.23975793E+00  1.10800065E-02
3.99603665E-02  1.24244008E+00  1.09215528E-02
4.00838916E-02  1.24803979E+00  1.08960281E-02
4.02074166E-02  1.25169820E+00  1.08587506E-02
4.03309417E-02  1.23772494E+00  1.07828199E-02
4.04544668E-02  1.26479189E+00  1.07429449E-02
4.05779919E-02  1.25817776E+00  1.06927699E-02
4.07015170E-02  1.26821701E+00  1.06260033E-02
4.08250421E-02  1.24968376E+00  1.06172746E-02
4.09485672E-02  1.25331680E+00  1.05735673E-02
4.10720923E-02  1.24672691E+00  1.05460629E-02
4.11956174E-02  1.24784154E+00  1.05385251E-02
4.13191424E-02  1.24412471E+00  1.04293020E-02
4.14426675E-02  1.22024062E+00  1.04523808E-02
4.15661926E-02  1.23439837E+00  1.03840028E-02
4.16897177E-02  1.22105195E+00  1.03983278E-02
4.18132428E-02  1.21463872E+00  1.03471163E-02
4.19367679E-02  1.21697720E+00  1.02994238E-02
4.20602930E-02  1.21862138E+00  1.03137544E-02
4.21838181E-02  1.22001867E+00  1.02467077E-02
4.23073432E-02  1.21896817E+00  1.02544652E-02
4.24308683E-02  1.20223597E+00  1.02079387E-02
4.25543933E-02  1.22629000E+00  1.01785825E-02
4.26779184E-02  1.22044201E+00  1.02035931E-02
4.28014435E-02  1.20906998E+00  1.00956084E-02
4.29249686E-02  1.22965733E+00  1.01308071E-02
4.30484937E-02  1.22300673E+00  1.00755068E-02
4.31720188E-02  1.20187536E+00  1.00725283E-02
4.32955439E-02  1.21009459E+00  1.01033326E-02
4.34190690E-02  1.19150028E+00  9.95852169E-03
4.35425941E-02  1.19984360E+00  1.00388869E-02
4.36661191E-02  1.22380610E+00  9.92520900E-03
4.37896442E-02  1.18243746E+00  9.93846631E-03
4.39131693E-02  1.18613489E+00  9.91275957E-03
4.40366944E-02  1.19417190E+00  9.92440905E-03
4.41602195E-02  1.18909939E+00  9.89409277E-03
4.42837446E-02  1.17598967E+00  9.84960510E-03
4.44072697E-02  1.19612327E+00  9.82818187E-03
4.45307948E-02  1.17503852E+00  9.85976317E-03
4.46543199E-02  1.17614431E+00  9.76906667E-03
4.47778450E-02  1.18487024E+00  9.80586699E-03
4.49013700E-02  1.18417289E+00  9.74448912E-03
4.50248951E-02  1.17527400E+00  9.71001254E-03
4.51484202E-02  1.16633596E+00  9.72443696E-03
4.52719453E-02  1.18923835E+00  9.66057796E-03
4.53954704E-02  1.17760237E+00  9.69917164E-03
4.55189955E-02  1.16784102E+00  9.60614544E-03
4.56425206E-02  1.16409560E+00  9.63001407E-03
4.57660457E-02  1.16593455E+00  9.58751275E-03
4.58895708E-02  1.17090930E+00  9.57216756E-03
4.60130958E-02  1.17425717E+00  9.55659024E-03
4.61366209E-02  1.16030672E+00  9.55333587E-03
4.62601460E-02  1.14874182E+00  9.51350963E-03
4.63836711E-02  1.14579612E+00  9.47813029E-03
4.65071962E-02  1.15835359E+00  9.48690264E-03
4.66307213E-02  1.13992489E+00  9.43816034E-03
4.67542464E-02  1.15766207E+00  9.42304131E-03
4.68777715E-02  1.15629921E+00  9.42340597E-03
4.70012966E-02  1.14662836E+00  9.38275508E-03
4.71248217E-02  1.14019362E+00  9.39148967E-03
4.72483467E-02  1.14174258E+00  9.34443376E-03
4.73718718E-02  1.14322573E+00  9.36400430E-03
4.74953969E-02  1.13430735E+00  9.31402864E-03
4.76189220E-02  1.15326854E+00  9.29695424E-03
4.77424471E-02  1.14510012E+00  9.29079757E-03
4.78659722E-02  1.13507383E+00  9.25103450E-03
4.79894973E-02  1.13974646E+00  9.25475888E-03
4.81130224E-02  1.12613404E+00  9.20877710E-03
4.82365475E-02  1.13574417E+00  9.25979318E-03
4.83600726E-02  1.12938684E+00  9.17561554E-03
4.84835976E-02  1.11617002E+00  9.15232595E-03
4.86071227E-02  1.12672811E+00  9.17338448E-03
4.87306478E-02  1.10900326E+00  9.11760215E-03
4.88541729E-02  1.11911527E+00  9.15517031E-03
4.89776980E-02  1.12451138E+00  9.05773992E-03
4.91012231E-02  1.11915856E+00  9.09405830E-03
4.92247482E-02  1.12223099E+00  9.06515602E-03
4.93482733E-02  1.12630817E+00  9.04888824E-03
4.94717984E-02  1.11578303E+00  9.07967120E-03
4.95953234E-02  1.12255051E+00  8.98974635E-03
4.97188485E-02  1.10584372E+00  9.02837648E-03
4.98423736E-02  1.10096923E+00  8.98199301E-03
4.99658987E-02  1.08573864E+00  8.97165879E-03
5.00894238E-02  1.10085387E+00  8.95958203E-03
5.02129489E-02  1.09781000E+00  9.02701123E-03
5.03364740E-02  1.10862183E+00  9.10195021E-03
5.04599991E-02  1.09439708E+00  9.07780568E-03
5.05835242E-02  1.09414303E+00  9.11272868E-03
5.07070493E-02  1.11503398E+00  9.14648933E-03
5.08305743E-02  1.09620675E+00  9.10451903E-03
5.09540994E-02  1.09009637E+00  9.19212313E-03
5.10776245E-02  1.07841895E+00  9.10908157E-03
5.12011496E-02  1.09077831E+00  9.15628242E-03
5.13246747E-02  1.07851397E+00  9.14771426E-03
5.14481998E-02  1.10874358E+00  9.16218585E-03
5.15717249E-02  1.07089449E+00  9.17012329E-03
5.16952500E-02  1.08323030E+00  9.14740461E-03
5.18187751E-02  1.06986464E+00  9.07758368E-03
5.19423001E-02  1.06928318E+00  9.00209316E-03
5.20658252E-02  1.07482747E+00  8.97564934E-03
5.21893503E-02  1.06877599E+00  8.95393075E-03
5.23128754E-02  1.04674360E+00  8.92085244E-03
5.24364005E-02  1.06140841E+00  8.92423794E-03
5.25599256E-02  1.05676710E+00  8.85056469E-03
5.26834507E-02  1.04658691E+00  8.85540964E-03
5.28069758E-02  1.06098953E+00  8.84430595E-03
5.29305009E-02  1.05410063E+00  8.84196939E-03
5.30540260E-02  1.06072404E+00  8.84027084E-03
5.31775510E-02  1.06202171E+00  8.72944141E-03
5.33010761E-02  1.05831416E+00  8.77821597E-03
5.34246012E-02  1.03617256E+00  8.77334764E-03
5.35481263E-02  1.05331606E+00  8.74145359E-03
5.36716514E-02  1.04437088E+00  8.75101192E-03
5.37951765E-02  1.03600147E+00  8.67408521E-03
5.39187016E-02  1.03685269E+00  8.74463977E-03
5.40422267E-02  1.02186194E+00  8.67595366E-03
5.41657518E-02  1.01992224E+00  8.67562166E-03
5.42892768E-02  1.02675573E+00  8.65198153E-03
5.44128019E-02  1.03246172E+00  8.62167750E-03
5.45363270E-02  1.03466894E+00  8.68570678E-03
5.46598521E-02  1.04489738E+00  8.61382296E-03
5.47833772E-02  1.01672872E+00  8.60118584E-03
5.49069023E-02  1.02095732E+00  8.59028609E-03
5.50304274E-02  1.01868600E+00  8.56090294E-03
5.51539525E-02  1.01878351E+00  8.60643224E-03
5.52774776E-02  1.02419282E+00  8.54612991E-03
5.54010027E-02  1.01933607E+00  8.54213172E-03
5.55245277E-02  1.00633261E+00  8.56306563E-03
5.56480528E-02  1.00507423E+00  8.49145197E-03
5.57715779E-02  1.01107985E+00  8.51543290E-03
5.58951030E-02  1.00837521E+00  8.50370736E-03
5.60186281E-02  1.00517885E+00  8.49398341E-03
5.61421532E-02  9.94120341E-01  8.47521072E-03
5.62656783E-02  9.99188596E-01  8.44993017E-03
5.63892034E-02  9.96756249E-01  8.45294553E-03
5.65127285E-02  1.00033314E+00  8.45008913E-03
5.66362535E-02  1.01162861E+00  8.46655420E-03
5.67597786E-02  9.87178296E-01  8.40758345E-03
5.68833037E-02  9.85260749E-01  8.38933370E-03
5.70068288E-02  9.95311465E-01  8.40310525E-03
5.71303539E-02  9.75065946E-01  8.39164620E-03
5.72538790E-02  9.95131908E-01  8.39124567E-03
5.73774041E-02  9.80498337E-01  8.36269486E-03
5.75009292E-02  9.87201405E-01  8.35186310E-03
5.76244543E-02  9.76924317E-01  8.35724865E-03
5.77479794E-02  9.86916816E-01  8.34239188E-03
5.78715044E-02  9.80420663E-01  8.31720508E-03
5.79950295E-02  9.70016749E-01  8.28041561E-03
5.81185546E-02  9.80304793E-01  8.29421233E-03
5.82420797E-02  9.61269509E-01  8.27020795E-03
5.83656048E-02  9.73658456E-01  8.27204281E-03
5.84891299E-02  9.75971245E-01  8.24008717E-03
5.86126550E-02  9.66005595E-01  8.20686145E-03
5.87361801E-02  9.71040641E-01  8.26062838E-03
5.88597052E-02  9.46464913E-01  8.19794189E-03
5.89832302E-02  9.58280158E-01  8.18232833E-03
5.91067553E-02  9.67159636E-01  8.16627503E-03
5.92302804E-02  9.69830085E-01  8.16841317E-03
5.93538055E-02  9.48765787E-01  8.18612304E-03
5.94773306E-02  9.55662206E-01  8.13403899E-03
5.96008557E-02  9.53813616E-01  8.13183619E-03
5.97243808E-02  9.26654162E-01  8.13032654E-03
5.98479059E-02  9.49268262E-01  8.09876702E-03
5.99714310E-02  9.52134083E-01  8.11841604E-03
6.00949561E-02  9.44622153E-01  8.07969668E-03
6.02184811E-02  9.29174771E-01  8.08780720E-03
6.03420062E-02  9.50968124E-01  8.10642323E-03
6.04655313E-02  9.28629277E-01  8.04355229E-03
6.05890564E-02  9.40255471E-01  8.07601158E-03
6.07125815E-02  9.33454263E-01  8.03471892E-03
6.08361066E-02  9.42489763E-01  8.09553429E-03
6.09596317E-02  9.22825746E-01  8.03611640E-03
6.10831568E-02  9.42647752E-01  8.01524161E-03
6.12066819E-02  9.35381482E-01  8.03162010E-03
6.13302070E-02  9.14508177E-01  8.01337502E-03
6.14537320E-02  9.22444978E-01  8.01903357E-03
6.15772571E-02  9.31566102E-01  7.98921424E-03
6.17007822E-02  9.11550960E-01  7.97047501E-03
6.18243073E-02  9.14166208E-01  7.97185107E-03
6.19478324E-02  9.11505372E-01  7.93641883E-03
6.20713575E-02  9.30122701E-01  7.95084908E-03
6.21948826E-02  9.09420280E-01  7.90805647E-03
6.23184077E-02  9.00287117E-01  7.92200591E-03
6.24419328E-02  9.03531139E-01  7.90399630E-03
6.25654578E-02  9.02867756E-01  7.86827533E-03
6.26889829E-02  9.05010917E-01  7.89364770E-03
6.28125080E-02  9.01792346E-01  7.83695718E-03
6.29360331E-02  8.91065794E-01  7.90675985E-03
6.30595582E-02  8.89529583E-01  7.85011601E-03
6.31830833E-02  8.91271532E-01  7.82350244E-03
6.33066084E-02  9.10593687E-01  7.82714379E-03
6.34301335E-02  8.91666600E-01  7.81266852E-03
6.35536586E-02  8.88951158E-01  7.84599953E-03
6.36771837E-02  8.76695259E-01  7.78132061E-03
6.38007087E-02  8.92569695E-01  7.80017499E-03
6.39242338E-02  9.04317936E-01  7.80873901E-03
6.40477589E-02  9.00178533E-01  7.74496932E-03
6.41712840E-02  8.79775289E-01  7.78073057E-03
6.42948091E-02  8.80059659E-01  7.74475757E-03
6.44183342E-02  8.79542164E-01  7.74932559E-03
6.45418593E-02  8.86389844E-01  7.79619849E-03
6.46653844E-02  8.87778095E-01  7.73447849E-03
6.47889095E-02  8.75865278E-01  7.73035039E-03
6.49124345E-02  8.73451521E-01  7.69678209E-03
6.50359596E-02  8.63571768E-01  7.71969140E-03
6.51594847E-02  8.68156467E-01  7.72287648E-03
6.52830098E-02  8.61323326E-01  7.70019898E-03
6.54065349E-02  8.67273667E-01  7.71019390E-03
6.55300600E-02  8.56387865E-01  7.66417213E-03
6.56535851E-02  8.60700230E-01  7.67784834E-03
6.57771102E-02  8.65468346E-01  7.67859400E-03
6.59006353E-02  8.59142218E-01  7.65399560E-03
6.60241604E-02  8.44930018E-01  7.66549013E-03
6.61476854E-02  8.57149462E-01  7.64343145E-03
6.62712105E-02  8.56367080E-01  7.62018628E-03
6.63947356E-02  8.48491785E-01  7.63191002E-03
6.65182607E-02  8.31948729E-01  7.61199720E-03
